uid,ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,detailed-label
CUqcxs3Iy1QO7CXdS1,1545466965.685419,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
CcgXVF3keETohdW0L2,1545414910.456848,192.168.1.195,123.0,147.231.100.5,123.0,udp,-,0.001746,48,48,SF,-,-,0.0,Dd,1.0,76.0,1.0,76.0,Benign,-
CZZnjh3jnQRBxnVC4b,1545466988.950626,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
C8wflc1SeTU1zIUP12,1545466986.649704,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
CD7mmkrcD8pN5Vb2a,1545466969.273376,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
CtL6cJ3VOIpqfNEGl2,1545466975.174747,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
CRb4QTCNPnDyYLx73,1545466984.069165,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
CMP5wm17ltIw4XDj48,1545466961.938831,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
CqOntc357Xr9W4hv2b,1545419587.453898,192.168.1.195,123.0,195.113.144.201,123.0,udp,-,0.001731,48,48,SF,-,-,0.0,Dd,1.0,76.0,1.0,76.0,Benign,-
CxOAex4JhTbCx2p1Aj,1545466980.431506,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
Ca5XdF1pnmEzhsd9Vi,1545416444.456898,192.168.1.195,123.0,147.251.48.140,123.0,udp,-,-,-,-,S0,-,-,0.0,D,1.0,76.0,0.0,0.0,Benign,-
CRX7fx3OIWFYHElkMe,1545466983.820058,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
C6ey3723HLvkVNprIg,1545466987.830266,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
C8oTcD4UYoM5EuUkB2,1545466974.08163,192.168.1.195,65279.0,123.59.209.185,80.0,tcp,-,-,-,-,OTH,-,-,0.0,C,0.0,0.0,0.0,0.0,Malicious,DDoS
